case_id,question,candidate_answer,rater_A_score,rater_A_comment,rater_B_score,rater_B_comment,rater_C_score,rater_C_comment,final_adjudicated_score,adjudicator_reason
BM-006,Explain your logic to find the two indices in an array that sum up to a target value.,Hash map array indices complement lookup dictionary key value O(N) linear time insertion collision resolution target difference.,0.25,Keyword list without coherent explanation of the algorithm.,0.1,"Unacceptable: Random keyword list, violates jargon policy.",0.34,"Relevant keywords are present, but the response lacks coherent procedural explanation; subject to the jargon cap.",0.28,"Pure keyword list (hash map, complement, O(N)); correct terms but no procedural explanation of the lookup logic. Jargon cap applies."
BM-014,Describe the approach to reverse a singly linked list in-place.,Three pointers prev curr next pointer redirection in-place O(1) space auxiliary head update reverse singly linked list null termination.,0.30,Keyword stuffing; relevant terms but no coherent step-by-step explanation.,0.1,Unacceptable: Jargon stuffing without coherent grammatical structure.,0.38,Contains the right concepts but is keyword-only and lacks a coherent step-by-step explanation.,0.30,Keyword list naming the three-pointer technique but never states the actual reassignment steps or loop condition. Capped.
BM-019,Explain the BFS (Level Order) traversal logic for a binary tree.,Level order traversal uses a queue to visit the nodes level by level starting from the root.,0.45,Correct general idea but lacks procedural mechanics.,0.5,Partial: Mentions the queue data structure but lacks specific procedural steps.,0.78,"Correct core queue-based level-order approach, but lacks mechanics and complexity details.",0.55,"Coherent grammatical sentence correctly identifying queue-based level-order traversal from root, but omits the enqueue/dequeue mechanics and child-insertion/loop-termination steps. Partial band, not keyword-capped."
BM-022,Explain the BFS (Level Order) traversal logic for a binary tree.,FIFO queue level order traversal breadth first search root enqueue dequeue left child right child depth width tree traversal.,0.30,Keyword stuffing; correct terms but no coherent explanation.,0.1,Unacceptable: Keyword stuffing with no coherent explanation.,0.36,"Correct keywords and queue concept, but the response is too fragmentary to demonstrate full reasoning.",0.30,Keyword dump of the same BFS concept as BM-019 but with zero sentence structure. Capped.
BM-030,What is a pointer in C and how do you declare one?,Memory address pointer declaration asterisk int *p dereference operator address-of ampersand heap stack byte allocation.,0.30,Keyword stuffing; relevant terms but no coherent explanation.,0.1,Unacceptable: Pure keyword stuffing without sentence structure.,0.35,"Relevant pointer terminology is present, but it is largely a keyword list without coherent explanation.",0.28,"Keyword list on pointers (asterisk, dereference, address-of) with no explanation of declaration syntax or semantics. Capped."
BM-038,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,Dynamic programming recurrence relation dp[n-1] + dp[n-2] base cases memoization bottom up tabulation Fibonacci O(N) time O(1) space.,0.35,"Keyword stuffing capped; correct recurrence shown among the keywords, but no coherent explanation.",0.1,Unacceptable: Jargon list violating keyword stuffing policy.,0.39,"Correct concepts are listed, but the answer is keyword-like and lacks a coherent explanation; capped at 0.40.",0.33,"Keyword dump, but uniquely embeds the correct explicit recurrence dp[n-1]+dp[n-2]; still no explanatory reasoning, so capped but at the higher end."
BM-046,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,DFS directed graph cycle detection recursion stack three colors white gray black back-edge visiting visited O(V+E) time.,0.35,Keyword stuffing capped; correct three-color/back-edge terms present but no coherent explanation.,0.1,Unacceptable: Jargon stuffing without coherent logic.,0.39,"Correct cycle-detection keywords, but presented as a fragment rather than a coherent explanation.",0.30,"Keyword list (three-color, back-edge, recursion stack) with correct DFS cycle-detection vocabulary but no explanation of the back-edge check logic. Capped."
BM-051,Explain the binary search algorithm and its preconditions.,Binary search splits the array in half each time to find a target value in O(log N) time.,0.40,"Describes the halving mechanism but omits the sortedness precondition entirely, which the question explicitly asks for.",0.45,Partial: Mentions array splitting but completely omits the sorted precondition.,0.71,"Correct high-level description and complexity, but omits the sorted precondition and update mechanics.",0.45,"Coherent sentence with correct halving mechanism and O(log N) complexity, but omits the explicitly-requested sortedness precondition and low/high/mid update mechanics. Partial band."
BM-054,Explain the binary search algorithm and its preconditions.,Binary search sorted array monotonic precondition divide and conquer low high mid halving O(log N) logarithmic time integer overflow.,0.35,Keyword stuffing capped; correct relevant terms present but no coherent explanation.,0.1,Unacceptable: Keyword stuffing void of grammatical structure.,0.39,"Correct concepts are present, but the response is keyword-heavy rather than explanatory; capped at 0.40.",0.35,"Keyword dump but with broader correct coverage (sorted, monotonic precondition, low/high/mid) than BM-051's prose version; still lacks coherent explanation so remains capped."
BM-062,What is a race condition in multithreading and how do you prevent it?,Race condition multithreading shared mutable state concurrent write critical section mutual exclusion mutex lock semaphore atomic operations.,0.35,Keyword stuffing capped; correct relevant terms present but no coherent explanation.,0.1,Unacceptable: Jargon stuffing list violating the evaluation policy.,0.40,"Relevant concepts are all present, but this is a keyword-only fragment and hits the rubric cap.",0.30,"Keyword list (mutex, critical section, atomic operations) naming prevention mechanisms without explaining how a race condition arises or how mutual exclusion resolves it. Capped."
