case_id,qid,category,human_gold,derived_ce,upstream_ce,tfidf,bm25,token_overlap,length_only,ref_S1,ref_S2_eff,ref_R_mapped,ref_composite_deployed
BM-001,1,concise_correct,0.9167,0.62474424,2.78175974,0.36063184,42.91662916,0.34848485,39.00000000,0.40500000,0.75000000,0.60700000,0.60000000
BM-002,1,verbose_correct,0.98,0.68015850,1.85055518,0.50027688,45.61264254,0.50000000,117.00000000,0.55300000,1.00000000,0.68600000,0.83590000
BM-003,1,suboptimal_correct,0.73,0.50325364,-1.29312801,0.13431910,22.67874859,0.21212121,43.00000000,0.23800000,0.50000000,0.43300000,0.41730000
BM-004,1,partial_incomplete,0.5267,0.36821100,-2.73734212,0.24866638,23.86656913,0.15151515,16.00000000,0.24700000,0.15000000,0.24000000,0.00970000
BM-005,1,verbose_wrong,0.1433,0.55636030,2.43207073,0.21924073,17.45078905,0.19696970,55.00000000,0.29300000,0.25000000,0.50900000,0.38600000
BM-006,1,keyword_stuffed,0.28,0.45987603,-0.28725573,0.30006391,31.15369624,0.16666667,17.00000000,0.31600000,0.50000000,0.37100000,0.40800000
BM-007,1,misconception,0.06,0.43017280,1.16946650,0.19609534,22.11727096,0.18181818,24.00000000,0.25700000,0.00000000,0.32900000,0.20300000
BM-008,1,contradictory,0.1867,0.41488135,-1.57644892,0.24036480,29.41027514,0.22727273,30.00000000,0.28100000,0.50000000,0.30700000,0.37070000
BM-009,3,concise_correct,0.92,0.67531168,2.45586300,0.66600689,37.34303223,0.25000000,37.00000000,0.36400000,1.00000000,0.67900000,0.60000000
BM-010,3,verbose_correct,0.9833,0.78683144,6.39229774,0.69765694,49.81476283,0.57142857,118.00000000,0.47800000,1.00000000,0.83800000,0.87090000
BM-011,3,partial_incomplete,0.5067,0.46349496,0.23792845,0.14303133,17.52088034,0.12500000,19.00000000,0.27300000,0.50000000,0.37600000,0.40410000
BM-012,3,incorrect,0.0833,0.48988822,-0.59633750,0.15920881,13.96409455,0.12500000,18.00000000,0.17500000,0.00000000,0.41400000,0.23330000
BM-013,3,verbose_wrong,0.1667,0.63095951,5.28374863,0.27277744,31.15635725,0.30357143,51.00000000,0.39400000,0.50000000,0.61600000,0.54200000
BM-014,3,keyword_stuffed,0.3,0.59261447,4.06291389,0.54452090,45.68827075,0.28571429,19.00000000,0.33800000,0.75000000,0.56100000,0.59370000
BM-015,3,misconception,0.1167,0.52139550,4.38420248,0.24527947,23.34052908,0.16071429,18.00000000,0.30200000,0.50000000,0.45900000,0.44990000
BM-016,3,paraphrase,0.86,0.52604914,0.20708802,0.11316624,18.56149306,0.16071429,35.00000000,0.38200000,1.00000000,0.46600000,0.64010000
BM-017,10,concise_correct,0.9067,0.63154995,0.04284636,0.49016011,40.69844524,0.26760563,38.00000000,0.54200000,1.00000000,0.61700000,0.73960000
BM-018,10,verbose_correct,0.9833,0.72756219,1.54364181,0.60550696,66.59700302,0.64788732,119.00000000,0.61100000,1.00000000,0.75400000,0.81850000
BM-019,10,partial_incomplete,0.55,0.46676266,0.76323760,0.48775184,24.68091057,0.14084507,17.00000000,0.54900000,0.50000000,0.38100000,0.44790000
BM-020,10,incorrect,0.1167,0.37012711,-1.02462864,0.13869840,15.43253210,0.09859155,17.00000000,0.31900000,0.00000000,0.24300000,0.00000000
BM-021,10,verbose_wrong,0.1133,0.56763768,0.59475875,0.26374316,30.68343040,0.22535211,45.00000000,0.39100000,0.25000000,0.52500000,0.40880000
BM-022,10,keyword_stuffed,0.3,0.56117094,0.75182343,0.43429801,46.75812063,0.18309859,19.00000000,0.54600000,0.75000000,0.51600000,0.60240000
