priority,paper,problem,evidence,recommended_fix,change_type,rerun_required,documentation_only,affects_research,status
P0,Paper 2,CrossEncoder is described as off-the-shelf / never fine-tuned but the weights are not upstream,"tuned_model2/model.safetensors: embeddings + layers 0-3 identical to upstream cross-encoder/ms-marco-MiniLM-L-6-v2; layers 4-5 pooler classifier differ (max 0.006); best_model_info.json (epoch 5 step 660 huber/rank loss val_spearman 0.785); docs/EVALUATION.md and PREPAIRED_COMPLETE_BOOKLET.md say 'fine-tuned'; audit/data_leakage_report.md says 'fine-tuned'; PAPER2_MODEL_PROVENANCE_GATE.md never compared weights",USER DECISION REQUIRED: (a) establish what data/labels produced the fine-tune (training script not in tree; check git history + author); (b) prove no overlap with the 64-case benchmark or pilot ratings; (c) either re-describe R as 'MS MARCO cross-encoder with additional top-layer fine-tuning (data X)' or replace tuned_model2 with verified upstream weights and re-run Paper 2 (which changes results). Do not use 'off-the-shelf' wording until resolved,E (scientific claim),Only if user chooses to swap in upstream weights,No (if wording is corrected) / Yes (if weights swapped),Yes (claim about R provenance; possible leakage),OPEN
P0,Paper 3,Headline result is reproduced by a constant 'Same' policy plus guardrails (learned PPO adds no measured benefit),"Replay: Always-Same+guardrails MAE 0.673 vol 0.080 osc 0.000 vs PPO+guardrails 0.673-0.687; raw PPO across seeds 0.804-1.138 (SD 0.161); guarded seeds collapse to 0.673-0.687 (SD 0.006) because guardrails dominate; raw PPO almost never chooses Harder (0-20 of 250 turns)",USER DECISION REQUIRED: reframe Paper 3 around the guardrail shield (not learned PPO) or add pre-specified controls (Same+guardrails; heuristic+guardrails; oracle) and honest negative result. Any new experiment needs approval and a new frozen config,E (scientific),Yes for new controls (new files; frozen results untouched),No,Yes (central claim),OPEN
P0,Paper 3,'Zero constraint violations / eliminates 100% of out-of-bounds transitions' is unsupported,"run_session_trajectory counts pre-clip violations then np.clip's difficulty for every policy; measured guarded violations 26/71/41/33/61 (=232); raw seed-123 60 vs guarded 71; report/summary/ablation use hard-coded literal 0 (script lines 774 886 895 951)",USER DECISION REQUIRED: drop or restate as 'simulator clamps difficulty to [1 5] for all policies; guardrails do not reduce attempted out-of-range proposals (232 attempts)'. Correct the reporting bug in a NEW addendum (do not edit frozen files),D/E,No (recompute from stored replay),Yes (addendum),Yes (safety claim),OPEN
P0,Paper 3,'563 interventions / 45% of turns rescue struggling candidates' overstates action-changing interventions,"563 counts was_overridden even when guardrail action == PPO action; only 99 of 1250 turns (7.9%) actually changed the PPO action",Report both counts: rule activations 563 and action-changing overrides 99,D (reporting),No,Yes (addendum),Yes,OPEN
P0,Paper 3,PPO 'lower volatility than heuristic (0.088 vs 0.160)' is a seed-123-only figure,"5-seed guarded volatility 0.186 +/- 0.068 > heuristic 0.160 (2 of 5 seeds lower); oscillation 0.160 vs 0.000; guardrails raise volatility 0.078 -> 0.186 (raw JSON volatility_reduction_pct -140.21); seed 123 is the lowest-volatility seed",Remove the volatility-advantage claim from MANUSCRIPT_AUTHORING_GUIDELINES and canonical docs (new corrected handoff note); if kept report all 5 seeds,D (documentation) with claim consequence,No,Yes,Yes,OPEN
P0,Paper 1,Fault-injection (10/10) and Qwen-isolation (5/5) results are literal PASS strings not measured outcomes,execute_paper1_study.py line 423 and 668-706 hard-code status PASS; only 4 ScoreValidator asserts execute; no test found injecting Qwen ConnectionRefused/timeouts,USER DECISION REQUIRED: either map each FLT/QWN to an existing executable test and record pass/fail evidence (new script; approval) or reword claims to 'design-level fault-handling matrix; N executable checks',D/E,Yes (new checks; no frozen results changed),No,Yes (Paper 1 core claim),OPEN
P0,Cross-paper,Human-rating provenance and research-ethics documentation are not in the repository,"ETHICS_CHECKLIST.md unsigned (all boxes unchecked; no IRB/consent/compensation record); rater identities/qualifications not recorded; rater files timestamped 14:21/14:48/14:52 and adjudication 15:07 on 2026-09-19 (22-53 min after protocol freeze); adjudicator identity unrecorded",Supply signed ethics/consent statement; record rater qualifications and dates; disclose adjudicator and whether AI assistance touched any rating or rationale. Reviewers will ask,C (documentation),No,Yes,Yes (validity of human gold),OPEN
P1,Paper 2,Benchmark structure: 64 cases = 8 questions x 8 categories; reported as 10 topics; README says 11 categories and 8 questions per domain,paper2_case_level_results.csv (8 qids/topics); benchmark README; claim matrix row 10 says 10 DSA/systems categories,Correct the description; add question-clustered bootstrap or leave-one-question-out sensitivity as a new analysis file,C plus new analysis,No (recompute),Partly,Yes (CI width),OPEN
P1,Paper 2,Systematic under-scoring of correct-but-concise / paraphrased answers,concise_correct MAE 0.515 (model mean 0.40 vs human 0.91); paraphrase 0.484; verbose_correct 0.393; overall bias -0.134; 59% of cases under-estimated,Report as principal limitation; present error analysis by category,C,No,Yes,Yes (framing),OPEN
P1,Paper 2,Threshold theta=0.30 and R<=0.30 dampening were selected on the N=20 single-rater pilot that shares 4 of the 8 benchmark questions,threshold_provenance.md (sensitivity sweep on pilot; rho 0.6975 selected operating point); benchmark qids overlap Two Sum / Reverse LL / level order / pointers,State plainly: parameters were tuned on the pilot before the 64-case gold; 64-case gold not used for tuning (evaluator app.py unchanged since 2026-08-27); overlap of questions/rubrics acknowledged,C,No,Yes,Yes (independence wording),OPEN
