row_id,area,claim_as_stored,status,evidence_class,basis,check,x1_successor,check_passed,check_detail
S01,security,Nine attack programs (SEC-01..09) were executed,VALID,A,paper1_security_results.csv has 9 rows; P0-6 forensic: all nine programs ran (1 static filter + 8 Docker),sec_nine_rows,X1-C,True,
S02,security,9/9 (100%) attack vectors contained,WITHDRAWN,C,expected_outcome is stored but never compared; host_safe is a hard-coded True; pass = any status in a fixed set,sec_expected_vs_observed,X1-C,True,"4 of 9 observed_status equal expected_outcome: SEC-01,SEC-03,SEC-04,SEC-05"
S03,security,Four outcomes match the intended containment mechanism (SEC-01/03/04/05); five do not discriminate (SEC-02/06/07/08/09),VALID,A,literal comparison of expected_outcome vs observed_status; agrees with P0-6 audit reading,sec_expected_vs_observed,X1-C,True,"4 of 9 observed_status equal expected_outcome: SEC-01,SEC-03,SEC-04,SEC-05"
S04,security,host_safe = True for all attacks,WITHDRAWN,C,literal True in the script (two lines); no host observable is measured,sec_host_safe_literal,X1-C,True,host_safe True in 9/9 rows; 2 literal True assignments in the script
S05,security,Sandbox launched with non-root/--net=none/--cap-drop=ALL/--read-only/no-new-privileges/memory+PID limits,DESIGN-ONLY,CODE,configuration in coding_executor.py; effectiveness not shown by the study,none,X1-C,n/a,
S06,security,Container shares the host kernel (stated limitation),VALID,CODE,limitation statement; design fact,none,X1-C,n/a,
F01,fault,10/10 fault scenarios recovered (all PASS),WITHDRAWN,C,literal status PASS in static dictionaries; no fault was injected in the study,flt_literal_pass,X1-A,True,10/10 PASS from one literal in a loop; 4 asserts in the section (ScoreValidator only)
F02,fault,FLT-04 ScoreValidator sanitises NaN/Inf/out-of-range,VALID,A,four asserts executed in the study + tests/unit/test_score_validator.py; scoped to the validator,none,X1-A,n/a,
F03,fault,FLT-03 infrastructure failure is flagged and distinguished from a genuine 0.0,EXPLORATORY,B,assert executed on the flag; mocked-failure integration tests exist; retry-without-penalty behaviour unverified,none,X1-A,n/a,
F04,fault,FLT-01 Qwen unreachable -> deterministic feedback and score preserved,EXPLORATORY,B,mocked unreachable-port unit test exists; not a study measurement,none,X1-A,n/a,
