test_case,qid,relation,base_score,transformed_score,delta,passed,criterion
META-01,1,MG-1: Paraphrase Invariance,0.6386,0.6,-0.0386,True,Score approximately stable (|delta| <= 0.10)
META-01,1,MG-2: Irrelevant Addition,0.6386,0.63,-0.0086,True,Score does not artificially inflate (delta <= 0.05)
META-01,1,MG-3: Concept Deletion,0.6386,0.2914,-0.3472,True,Monotonic score drop (delta < 0)
META-01,1,MG-4: Negation Inversion,0.6386,0.4171,-0.2215,True,Severe penalty (delta <= -0.20)
META-01,1,MG-5: Keyword Injection,0.6386,0.4251,-0.2135,True,Score bounded without reasoning (score <= 0.50)
META-01,1,MG-6: Sentence Reordering,0.6386,0.6457,0.0071,True,Score approximately invariant under reordering (|delta| <= 0.08)
META-01,1,MG-7: Sentence Duplication,0.6386,0.6581,0.0195,True,No artificial inflation from repetition (|delta| <= 0.08)
META-02,3,MG-1: Paraphrase Invariance,0.7016,0.651,-0.0506,True,Score approximately stable (|delta| <= 0.10)
META-02,3,MG-2: Irrelevant Addition,0.7016,0.6306,-0.071,True,Score does not artificially inflate (delta <= 0.05)
META-02,3,MG-3: Concept Deletion,0.7016,0.5949,-0.1067,True,Monotonic score drop (delta < 0)
META-02,3,MG-4: Negation Inversion,0.7016,0.4416,-0.26,True,Severe penalty (delta <= -0.20)
META-02,3,MG-5: Keyword Injection,0.7016,0.5781,-0.1235,False,Score bounded without reasoning (score <= 0.50)
META-02,3,MG-6: Sentence Reordering,0.7016,0.7222,0.0206,True,Score approximately invariant under reordering (|delta| <= 0.08)
META-02,3,MG-7: Sentence Duplication,0.7016,0.7109,0.0093,True,No artificial inflation from repetition (|delta| <= 0.08)
META-03,10,MG-1: Paraphrase Invariance,0.7827,0.7396,-0.0431,True,Score approximately stable (|delta| <= 0.10)
META-03,10,MG-2: Irrelevant Addition,0.7827,0.7872,0.0045,True,Score does not artificially inflate (delta <= 0.05)
META-03,10,MG-3: Concept Deletion,0.7827,0.4427,-0.34,True,Monotonic score drop (delta < 0)
META-03,10,MG-4: Negation Inversion,0.7827,0.5014,-0.2813,True,Severe penalty (delta <= -0.20)
META-03,10,MG-5: Keyword Injection,0.7827,0.6644,-0.1183,False,Score bounded without reasoning (score <= 0.50)
META-03,10,MG-6: Sentence Reordering,0.7827,0.7785,-0.0042,True,Score approximately invariant under reordering (|delta| <= 0.08)
META-03,10,MG-7: Sentence Duplication,0.7827,0.7876,0.0049,True,No artificial inflation from repetition (|delta| <= 0.08)
