scenario_id,failure_type,component,injected_failure,system_response,recovery_behavior,retry_behavior,state_consistency,user_visible_behavior,status
FLT-01,Microservice Outage,Qwen LLM Feedback Service,Simulated connection refused on port 8001/8002,Timeout / ConnectionRefused caught; fallback template dispatched,Deterministic structured feedback rendered; no state loss,Allowed; turns advance cleanly,Preserved in SQLite,Clear feedback without error screens or stack traces,PASS
FLT-02,Microservice Latency Exceeded,Qwen LLM Generation Timeout,Generation hangs beyond 3000ms threshold,asyncio.wait_for cancels generation; returns deterministic concept synthesis,Candidate receives instant rubric-grounded feedback,Allowed,Preserved,Turn completes within standard SLA (<3.5s),PASS
FLT-03,Evaluator Failure (HTTP 503),Technical Evaluator,Evaluator process crash / HTTP 503 unavailable,"Evaluation returns status='evaluator_unavailable', validated_score=0.0",is_infrastructure_failure flagged true; question retry permitted without penalty,Free retry offered; turn not scored against candidate,Distinguished from genuine 0.0 score via evaluation_status column,Polite notification: 'Evaluator temporarily unavailable. Re-attempt permitted.',PASS
FLT-04,Malformed Numeric Score,ScoreValidator Guardrail,"Raw score receives NaN, Inf, or out-of-bounds 999.0","ScoreValidator type/clamp rules engage; replaces NaN/Inf with 0.0 or clamps to [0, 1]","Valid float [0.0, 1.0] returned with explicit validation trace",N/A,Preserved; downstream RL receives sanitized float vector,Transparent; candidate unaffected by parser abnormality,PASS
FLT-05,Docker Daemon Unreachable,Coding Sandbox Executor,Docker CLI/socket down or daemon unreachable,"Returns status='sandbox_error', coding_score=0.0, error message logged",Host protected from un-sandboxed execution; clean user alert,Candidate re-submission enabled once daemon recovers,Session state remains intact; zero memory corruption,Sandbox offline error message; host remains uncompromised,PASS
FLT-06,Compilation Resource Hang,GCC Compiler Subsystem,Compiler hangs (>10.0s timeout),Subprocess timeout kills compiler process,Status 'compilation_error' emitted; temporary files cleaned,Candidate prompted to revise syntax and re-submit,Preserved,Compilation timed out error displayed,PASS
FLT-07,Database Lock Contention,SQLite Storage Engine,Simulated concurrent write locks under heavy burst,WAL mode + 30.0s busy timeout retry loop serializes transaction,Zero OperationalError exceptions; write completes on retry,Transparent to candidate,100% ACID consistency; zero corrupted rows,Smooth turn transition without database disconnect alert,PASS
FLT-08,Client Connection Abrupt Reset,WebSocket Transport Layer,Abrupt client TCP RST during evaluation computation,FastAPI WebSocket disconnect caught; background evaluation completes and writes to SQLite,Candidate reconnects with session_id; fetches completed report via REST,Resume from last saved turn,Turn recorded in database regardless of client socket drop,Session restored upon page reload,PASS
FLT-09,Acoustic Feature Extraction Crash,Praat / Parselmouth Audio,Truncated / malformed audio buffer supplied to speech analyzer,"Audio pipeline catches exception; substitutes default neutral prosody (conf=0.5, hes=0.5)",Pacing RL guardrails receive safe neutral inputs; no NaN propagation,N/A (technical scoring unaffected),Technical score depends solely on text transcript; 0% score drift,Verbal feedback provided normally without audio crash,PASS
FLT-10,Empty Client Payload,Interview Orchestrator,Client sends empty string answer or NULL transcript,Orchestrator detects empty transcript; returns status='stt_unavailable',Turn flagged as ungraded; prompts candidate to check microphone,Immediate re-attempt allowed with zero penalty,Preserved; no false technical failure recorded,'No audio detected. Please re-record your answer.',PASS
