item_id,question_id,topic,question,candidate_answer,score_0_to_1,rater_comments
BM-001,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash table to store number-to-index mappings. For each x in the array, check if target - x is already in the map. If found, return both indices; otherwise insert x. Runs in O(N) time and O(N) space.",0.90,Correct hash-map two-sum with complexity; concise and complete.
BM-002,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"We begin by initializing an empty associative array or hash map that will keep track of all elements we have inspected so far along with their corresponding 0-indexed positions. We then iterate through the input list from left to right. At each iteration, we calculate the required complement by subtracting the current value from the target sum. We perform a constant-time lookup in our hash map. If the complement is present, we immediately output a tuple containing the stored index and our current index. If it is not present, we record the current value and its index into the map to be referenced by future elements. This guarantees linear time complexity O(n) while utilizing O(n) auxiliary memory.",0.95,"Correct, thorough, procedurally complete with complexity analysis."
BM-003,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Run two nested loops from i = 0 to n and j = i + 1 to n. Check if arr[i] + arr[j] equals the target. If so, return i and j. This requires O(1) extra space but has O(N^2) quadratic time complexity.",0.75,"Correct brute-force logic, but suboptimal O(N^2) complexity (correctly acknowledged)."
BM-004,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,You can use a hash map to look up numbers quickly while iterating through the array.,0.50,Correct general direction (hash map) but no procedural mechanics given.
BM-005,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"To solve two sum efficiently, we must first sort the array using quicksort in O(n log n) time. Then we compute the mathematical average of all numbers, subtract the mean from the target, and perform binary search on the lower half of the array. This finds the exact matching pair in O(log n) additional time.",0.15,Approach (sort/average/binary search) is not a valid two-sum method; conceptually flawed.
BM-006,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,Hash map array indices complement lookup dictionary key value O(N) linear time insertion collision resolution target difference.,0.25,Keyword list without coherent explanation of the algorithm.
BM-007,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,We can find the two sum in O(1) time without extra memory by simply calculating target modulo 2 and indexing directly into the array.,0.05,Incorrect and nonsensical (modulo indexing does not solve two-sum).
BM-008,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash map to store visited numbers for O(1) lookups, but hash maps do not allow lookups and you have to search the entire array linearly every single time.",0.15,Self-contradictory: claims O(1) hash lookups then says lookups aren't possible.
BM-009,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Initialize prev to NULL and curr to head. Loop while curr is not NULL: cache curr->next in next_temp, redirect curr->next to prev, move prev to curr, and advance curr to next_temp. Return prev as the new head.",0.88,"Correct, complete in-place pointer reversal logic."
BM-010,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Reversing a singly linked list in-place requires redirecting every node's next pointer toward its predecessor without allocating auxiliary heap memory. We initialize three pointer variables: prev initialized to NULL, curr initialized to the list head, and a temporary pointer next_node. In a while loop that executes as long as curr is not NULL, we first preserve the remainder of the list by assigning next_node = curr->next. We then redirect curr->next to prev, effectively reversing the link. Next, we advance prev to curr, and curr to next_node. Upon loop termination, curr is NULL and prev points to the original tail, which is now the new head of the reversed list. Space complexity is O(1) and time complexity is O(N).",0.95,"Thorough, correct, complete with complexity."
BM-011,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,We walk along the linked list and point each node backwards toward the previous node until reaching the end.,0.45,"Correct high-level idea but no procedural detail (pointers, loop, termination)."
BM-012,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"We swap the first and last elements using array indexing list[0] and list[n-1], then increment and decrement inward.",0.05,"Describes array swapping, not linked-list reversal; off-topic."
BM-013,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"To reverse a singly linked list in-place, we allocate a secondary doubly linked list with forward and backward pointers. We push each node from the original list into a stack, allocate fresh memory for N new nodes, and pop from the stack to construct the reversed list in O(N) additional memory.",0.20,"Uses O(N) auxiliary memory and new nodes, contradicting the 'in-place' requirement."
BM-014,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,Three pointers prev curr next pointer redirection in-place O(1) space auxiliary head update reverse singly linked list null termination.,0.30,Keyword stuffing; relevant terms but no coherent step-by-step explanation.
BM-015,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,You can reverse a singly linked list by simply following the backward pointers from each node's prev property.,0.15,Misconception: singly linked lists don't have prev pointers to follow.
BM-016,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Set previous to null and pointer current to head. While current exists, hold current's following node, point current's forward link to previous, shift previous forward, and shift current forward. When finished, previous is the start.",0.85,Correct pointer-reversal logic in informal phrasing; essentially complete.
