paper,metric,reported_value,independently_computed_value,status,source_file,notes
Paper 2,human_gold_sha256,363dbe6d848a04fe18be5ef1d30b6bbf63b54248fe758e5e6bd4c27a26c06ce2,363dbe6d848a04fe18be5ef1d30b6bbf63b54248fe758e5e6bd4c27a26c06ce2,MATCH,research/data/evaluator_benchmark/final_human_gold.csv,Get-FileHash SHA256
Paper 2,rater_1_2_3_sha256,5c8086c6.../b0d15a69.../ce995d0e...,identical,MATCH,research/annotation/FROZEN_HUMAN_RATINGS/*.csv,All three raw rater files match manifest
Paper 2,frozen_config_sha256 (paper2 / paper3),f057baf1... / d3da2184...,identical,MATCH,research/experiments/paper2|paper3/frozen_config.yaml,
Paper 2,crossencoder_checkpoint_sha256,6a241a55bef24355378db16a6380f03226fc9394312122afa648ec9e03a94450,6a241a55bef24355378db16a6380f03226fc9394312122afa648ec9e03a94450,MATCH,services/evaluator/models/tuned_model2/model.safetensors,Hash matches manifest BUT weights differ from upstream cross-encoder/ms-marco-MiniLM-L-6-v2 (see next row)
Paper 2,crossencoder_is_off_the_shelf,"true (all handoff docs, claim matrix row 16)","FALSE: embeddings + layers 0-3 bit-identical to upstream; layers 4,5, pooler and classifier differ (max abs diff 0.006); best_model_info.json records epoch=5 global_step=660 huber/rank loss val_spearman=0.785",MISMATCH,services/evaluator/models/tuned_model2/{model.safetensors;best_model_info.json},P0. Local HF cache copy (snapshot c5ee24cb) used as upstream reference; training data/labels unidentified
Paper 2,N_cases,64,64,MATCH,research/results/paper2/paper2_case_level_results.csv,64 unique case_ids; 54 mean_of_three + 10 expert_adjudication
Paper 2,distinct_topics_or_questions,10 DSA topics (canonical; claim matrix),8 topics / 8 qids (8 categories x 8 cases),MISMATCH,research/results/paper2/paper2_case_level_results.csv,Benchmark README also says 8 questions/domain and 11 categories - neither matches data (10 categories)
Paper 2,spearman_rho,0.3812,0.3812,MATCH,paper2_case_level_results.csv,p=0.00188634
Paper 2,pearson_r,0.4042,0.4042,MATCH,paper2_case_level_results.csv,p=0.000924552
Paper 2,kendall_tau,0.2715,0.2715,MATCH,paper2_case_level_results.csv,p=0.00172724
Paper 2,MAE,0.2920,0.2920,MATCH,paper2_case_level_results.csv,
Paper 2,RMSE,0.3601,0.3601,MATCH,paper2_case_level_results.csv,
Paper 2,bootstrap_CI_spearman,"[0.1575, 0.5774]","[0.1564, 0.5780] (B=2000 seed=42 RandomState percentile)",ROUNDING_DIFFERENCE,paper2_bootstrap_results.csv,Different resample stream; differences <=0.002
Paper 2,ablation_S1_only rho / MAE,0.2070 / 0.3171,0.2070 / 0.3173,ROUNDING_DIFFERENCE,paper2_ablation_results.csv,MAE differs 0.0002
Paper 2,ablation_S2_only rho,0.3021,0.3021,MATCH,paper2_ablation_results.csv,
Paper 2,ablation_R_only rho,0.4832,0.4832,MATCH,paper2_ablation_results.csv,
Paper 2,ablation_S1+S2 rho,0.2894,0.2894,MATCH,paper2_ablation_results.csv,
Paper 2,ablation_S1+R rho,0.4884,0.4884,MATCH,paper2_ablation_results.csv,
Paper 2,ablation_S2+R rho,0.4171,0.4171,MATCH,paper2_ablation_results.csv,
Paper 2,ablation_full_composite rho,0.3812,0.3812,MATCH,paper2_ablation_results.csv,Full < R-only (0.4832) and < S1+R (0.4884): confirmed
Paper 2,S2_eff dampening rule (R<=0.30 -> x0.6),64/64 rows consistent,0 mismatches (15 rows with R<=0.30),MATCH,paper2_case_level_results.csv,
Paper 2,ICC(2;1),0.9528,0.9528,MATCH,annotation/FROZEN_HUMAN_RATINGS,Recomputed from raw rater files
Paper 2,ICC(2;k),0.9838,0.9838,MATCH,annotation/FROZEN_HUMAN_RATINGS,
Paper 2,Krippendorff_alpha_interval,0.9523,0.9523,MATCH,annotation/FROZEN_HUMAN_RATINGS,
Paper 2,adjudicated_case_count,10,10 (11th case has max pairwise diff exactly 0.20; rule is >0.20),EXPLAINABLE_DIFFERENCE,annotation/FROZEN_HUMAN_RATINGS,Float compare flags 11; exact rule gives 10
Paper 2,gold_rows_consistency,mean_of_three = round(mean of 3 raters; 4dp),all 54 rows equal; rater columns equal raw,MATCH,final_human_gold.csv,adjudication_required column is 'false' for all 64 incl. the 10 adjudicated (metadata inconsistency)
Paper 2,metamorphic_pass,19/21 (90.5%),19/21 (90.5%); fails: META-02 MG-5; META-03 MG-5,MATCH,paper2_metamorphic_results.csv,Only 3 base cases x 7 relations
Paper 2,adversarial_contained,11/13 (84.6%),11/13 (84.6%); fails ADV-10 ADV-11,MATCH,paper2_adversarial_results.csv,'Contained' = validated_score <= per-attack ceiling; ceilings 0.15-0.85 set by authors (see adversarial_threshold_provenance.md)
Paper 2,error_analysis_by_category (concise_correct MAE),not stated in handoff summary,0.5154 (n=8; model underestimates; mean model 0.40 vs human 0.91),UNVERIFIABLE (no reported value to compare),paper2_case_level_results.csv,Largest errors: concise_correct 0.515; paraphrase 0.484; suboptimal_correct 0.421; verbose_correct 0.393; overall bias model-human = -0.134
Paper 2,cluster_dependence,case-level bootstrap treats 64 cases as independent,64 cases = 8 questions x 8 categories (clustered),STATISTICAL_CONCERN,paper2_case_level_results.csv,See audit section 9; cluster bootstrap by question not reported
Paper 1,security_pass,9/9,9/9 by script criterion,MATCH,paper1_security_results.csv,Pass criterion accepts any of {timeout;runtime_error;compilation_error;sandbox_error;wrong_answer;accepted}; expected_outcome column not compared (weak oracle)
Paper 1,fault_recovery,10/10,10/10 are literal PASS strings,UNVERIFIABLE (not measured),research/scripts/execute_paper1_study.py:423,Script hard-codes status PASS for every FLT scenario; only 4 ScoreValidator asserts execute
Paper 1,qwen_isolation,5/5,5/5 are literal PASS strings,UNVERIFIABLE (not measured),research/scripts/execute_paper1_study.py:668-706,No test executed inside the study script
Paper 1,concurrency_total_operations,287,7+35+70+175 = 287,MATCH,paper1_concurrency_results.csv,0 lock errors / 0 isolation violations as recorded
Paper 1,concurrency_write_latency_25_sessions,canonical: 21.0 ms P95; Paper 1 report exec summary: 3.2 ms to 11.4 ms P95; report table: 719.124 ms P95,three incompatible figures,MISMATCH,research/results/paper1/PAPER1_FINAL_REPORT.md:19 vs :97,21.0 ms is the single-thread SQLite write P95 (n=25) not the 25-session concurrency P95 (719.1 ms)
Paper 1,warm_evaluator_mean_ms,1960.8,cannot recompute (20 raw samples not stored). Inferred from stored mean/median/P95/P99: one sample ~32 s (first call) + 19 samples mean ~0.36 s,UNVERIFIABLE,paper1_latency_results.csv,Reported 'warm' mean is dominated by a cold-start outlier; median 404.6 ms more representative. paper1_summary_results.csv separately says ~40-60 ms
