case_id,qid,topic,category,human_gold_score,model_score,signed_error,absolute_error,error_severity,error_direction,gold_method,S1,S2,R,bonus,penalty,grade,weakest_gap
BM-057,50,OS & Concurrency,concise_correct,0.9133,0.0,-0.9133,0.9133,substantial,model_underestimation,mean_of_three,0.193,0.0,0.236,0.0,0.2,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-064,50,OS & Concurrency,paraphrase,0.88,0.1238,-0.7562,0.7562,substantial,model_underestimation,mean_of_three,0.2,0.0,0.288,0.0,0.05,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-033,7,Dynamic Programming,concise_correct,0.9233,0.2142,-0.7091,0.7091,substantial,model_underestimation,mean_of_three,0.136,0.0,0.388,0.0,0.0,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-058,50,OS & Concurrency,verbose_correct,0.9833,0.2917,-0.6916,0.6916,substantial,model_underestimation,mean_of_three,0.307,0.0,0.491,0.0,0.0,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-041,15,Graphs & DFS,concise_correct,0.9033,0.2346,-0.6687,0.6687,substantial,model_underestimation,mean_of_three,0.078,0.0,0.446,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-049,22,Binary Search,concise_correct,0.91,0.2573,-0.6527,0.6527,substantial,model_underestimation,mean_of_three,0.165,0.0,0.465,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-048,15,Graphs & DFS,paraphrase,0.8533,0.2126,-0.6407,0.6407,substantial,model_underestimation,mean_of_three,0.042,0.0,0.412,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-050,22,Binary Search,verbose_correct,0.99,0.3781,-0.6119,0.6119,substantial,model_underestimation,mean_of_three,0.195,0.0,0.638,0.03,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-059,50,OS & Concurrency,partial_incomplete,0.61,0.0,-0.61,0.61,substantial,model_underestimation,mean_of_three,0.223,0.0,0.158,0.0,0.2,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-042,15,Graphs & DFS,verbose_correct,0.9833,0.3941,-0.5892,0.5892,substantial,model_underestimation,mean_of_three,0.15,0.0,0.623,0.06,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-034,7,Dynamic Programming,verbose_correct,0.9833,0.4151,-0.5682,0.5682,substantial,model_underestimation,mean_of_three,0.198,0.25,0.596,0.0,0.0,Average,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-035,7,Dynamic Programming,suboptimal_correct,0.72,0.1901,-0.5299,0.5299,substantial,model_underestimation,mean_of_three,0.196,0.0,0.321,0.0,0.0,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-004,1,Arrays & Hashing,partial_incomplete,0.5267,0.0097,-0.517,0.517,substantial,model_underestimation,mean_of_three,0.247,0.25,0.24,0.0,0.2,Poor,single pass iteration through the array with constant-time hash map lookup at each step
BM-036,7,Dynamic Programming,partial_incomplete,0.51,0.0,-0.51,0.51,substantial,model_underestimation,mean_of_three,0.136,0.25,0.187,0.0,0.2,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-029,41,C Pointers & Memory,verbose_wrong,0.0567,0.522,0.4653,0.4653,substantial,model_overestimation,mean_of_three,0.503,0.75,0.328,0.09,0.07,Average,C_Programming core principle
BM-025,41,C Pointers & Memory,concise_correct,0.9033,0.5274,-0.3759,0.3759,substantial,model_underestimation,mean_of_three,0.571,0.75,0.379,0.06,0.07,Average,C_Programming core principle
BM-013,3,Linked Lists,verbose_wrong,0.1667,0.542,0.3753,0.3753,substantial,model_overestimation,mean_of_three,0.394,0.5,0.616,0.0,0.0,Average,LinkedLists core principle
BM-015,3,Linked Lists,misconception,0.1167,0.4499,0.3332,0.3332,substantial,model_overestimation,mean_of_three,0.302,0.5,0.459,0.0,0.0,Average,LinkedLists core principle
BM-030,41,C Pointers & Memory,keyword_stuffed,0.28,0.6034,0.3234,0.3234,substantial,model_overestimation,expert_adjudication,0.547,0.75,0.338,0.09,0.0,Good,C_Programming core principle
BM-009,3,Linked Lists,concise_correct,0.92,0.6,-0.32,0.32,substantial,model_underestimation,mean_of_three,0.364,1.0,0.679,0.0,0.07,Good,Misconception: prev at the end of the loop is the correct new head — returning curr would return null
