case_id,qid,topic,category,human_gold_score,gold_method,model_score,S1,S2,S2_eff,R,bonus,penalty,final_score,grade,mandatory_pass,weakest_gap,evaluation_status
BM-001,1,Arrays & Hashing,concise_correct,0.9167,mean_of_three,0.6,0.405,0.75,0.75,0.607,0.06,0.07,0.6,Good,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-002,1,Arrays & Hashing,verbose_correct,0.98,mean_of_three,0.8359,0.553,1.0,1.0,0.686,0.06,0.0,0.8359,Excellent,True,None — comprehensive answer,SUCCESS
BM-003,1,Arrays & Hashing,suboptimal_correct,0.73,mean_of_three,0.4173,0.238,0.5,0.5,0.433,0.06,0.07,0.4173,Average,False,Arrays core principle,SUCCESS
BM-004,1,Arrays & Hashing,partial_incomplete,0.5267,mean_of_three,0.0097,0.247,0.25,0.15,0.24,0.0,0.2,0.0097,Poor,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-005,1,Arrays & Hashing,verbose_wrong,0.1433,mean_of_three,0.386,0.293,0.25,0.25,0.509,0.0,0.0,0.386,Poor,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-006,1,Arrays & Hashing,keyword_stuffed,0.28,expert_adjudication,0.408,0.316,0.5,0.5,0.371,0.0,0.0,0.408,Average,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-007,1,Arrays & Hashing,misconception,0.06,mean_of_three,0.203,0.257,0.0,0.0,0.329,0.0,0.0,0.203,Poor,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-008,1,Arrays & Hashing,contradictory,0.1867,mean_of_three,0.3707,0.281,0.5,0.5,0.307,0.0,0.0,0.3707,Poor,False,single pass iteration through the array with constant-time hash map lookup at each step,SUCCESS
BM-009,3,Linked Lists,concise_correct,0.92,mean_of_three,0.6,0.364,1.0,1.0,0.679,0.0,0.07,0.6,Good,False,Misconception: prev at the end of the loop is the correct new head — returning curr would return null,SUCCESS
BM-010,3,Linked Lists,verbose_correct,0.9833,mean_of_three,0.8709,0.478,1.0,1.0,0.838,0.03,0.0,0.8709,Excellent,True,None — comprehensive answer,SUCCESS
BM-011,3,Linked Lists,partial_incomplete,0.5067,mean_of_three,0.4041,0.273,0.5,0.5,0.376,0.0,0.0,0.4041,Average,False,LinkedLists core principle,SUCCESS
BM-012,3,Linked Lists,incorrect,0.0833,mean_of_three,0.2333,0.175,0.0,0.0,0.414,0.0,0.0,0.2333,Poor,False,"next node is always saved before curr.next is overwritten, preventing loss of the remaining list",SUCCESS
BM-013,3,Linked Lists,verbose_wrong,0.1667,mean_of_three,0.542,0.394,0.5,0.5,0.616,0.0,0.0,0.542,Average,True,LinkedLists core principle,SUCCESS
BM-014,3,Linked Lists,keyword_stuffed,0.3,expert_adjudication,0.5937,0.338,0.75,0.75,0.561,0.0,0.0,0.5937,Average,True,LinkedLists core principle,SUCCESS
BM-015,3,Linked Lists,misconception,0.1167,mean_of_three,0.4499,0.302,0.5,0.5,0.459,0.0,0.0,0.4499,Average,False,LinkedLists core principle,SUCCESS
BM-016,3,Linked Lists,paraphrase,0.86,mean_of_three,0.6401,0.382,1.0,1.0,0.466,0.0,0.0,0.6401,Good,True,Reasoning depth and mechanistic explanation,SUCCESS
BM-017,10,Trees & BFS,concise_correct,0.9067,mean_of_three,0.7396,0.542,1.0,1.0,0.617,0.0,0.0,0.7396,Good,True,None — comprehensive answer,SUCCESS
BM-018,10,Trees & BFS,verbose_correct,0.9833,mean_of_three,0.8185,0.611,1.0,1.0,0.754,0.0,0.0,0.8185,Excellent,True,None — comprehensive answer,SUCCESS
BM-019,10,Trees & BFS,partial_incomplete,0.55,expert_adjudication,0.4479,0.549,0.5,0.5,0.381,0.0,0.0,0.4479,Average,True,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty,SUCCESS
BM-020,10,Trees & BFS,incorrect,0.1167,mean_of_three,0.0,0.319,0.0,0.0,0.243,0.0,0.2,0.0,Poor,False,"dequeue the front node, process it, then enqueue left and right children in that order",SUCCESS
BM-021,10,Trees & BFS,verbose_wrong,0.1133,mean_of_three,0.4088,0.391,0.25,0.25,0.525,0.0,0.0,0.4088,Average,True,"dequeue the front node, process it, then enqueue left and right children in that order",SUCCESS
BM-022,10,Trees & BFS,keyword_stuffed,0.3,expert_adjudication,0.6024,0.546,0.75,0.75,0.516,0.0,0.0,0.6024,Good,True,Trees core principle,SUCCESS
BM-023,10,Trees & BFS,misconception,0.1367,mean_of_three,0.297,0.347,0.5,0.3,0.28,0.0,0.0,0.297,Poor,False,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty,SUCCESS
BM-024,10,Trees & BFS,contradictory,0.14,mean_of_three,0.437,0.513,0.5,0.5,0.37,0.0,0.0,0.437,Average,True,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty,SUCCESS
BM-025,41,C Pointers & Memory,concise_correct,0.9033,mean_of_three,0.5274,0.571,0.75,0.75,0.379,0.06,0.07,0.5274,Average,True,C_Programming core principle,SUCCESS
BM-026,41,C Pointers & Memory,verbose_correct,0.9833,mean_of_three,0.7227,0.673,1.0,1.0,0.643,0.09,0.14,0.7227,Good,True,"Misconception: A pointer holds an address, not the value — confusing *p (value) with p (address) is the fundamental error",SUCCESS
BM-027,41,C Pointers & Memory,partial_incomplete,0.6333,mean_of_three,0.4081,0.621,0.75,0.45,0.275,0.09,0.07,0.4081,Average,True,C_Programming core principle,SUCCESS
BM-028,41,C Pointers & Memory,incorrect,0.06,mean_of_three,0.304,0.486,0.5,0.3,0.212,0.09,0.07,0.304,Poor,False,address-of operator & obtains the address of a variable; dereferencing operator * accesses the value at the stored address,SUCCESS
