item_id,question_id,topic,question,candidate_answer,score_0_to_1,rater_comments
BM-001,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash table to store number-to-index mappings. For each x in the array, check if target - x is already in the map. If found, return both indices; otherwise insert x. Runs in O(N) time and O(N) space.",0.95,Correct hash-map complement lookup with stated O(N) time and O(N) space.
BM-002,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"We begin by initializing an empty associative array or hash map that will keep track of all elements we have inspected so far along with their corresponding 0-indexed positions. We then iterate through the input list from left to right. At each iteration, we calculate the required complement by subtracting the current value from the target sum. We perform a constant-time lookup in our hash map. If the complement is present, we immediately output a tuple containing the stored index and our current index. If it is not present, we record the current value and its index into the map to be referenced by future elements. This guarantees linear time complexity O(n) while utilizing O(n) auxiliary memory.",0.99,Complete step-by-step solution with correct complement logic and complexity.
BM-003,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Run two nested loops from i = 0 to n and j = i + 1 to n. Check if arr[i] + arr[j] equals the target. If so, return i and j. This requires O(1) extra space but has O(N^2) quadratic time complexity.",0.74,"Correct brute-force approach, but O(N^2) time is suboptimal versus the hash-map solution."
BM-004,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,You can use a hash map to look up numbers quickly while iterating through the array.,0.58,"Correct core idea, but it does not explain complement lookup, insertion, or complexity."
BM-005,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"To solve two sum efficiently, we must first sort the array using quicksort in O(n log n) time. Then we compute the mathematical average of all numbers, subtract the mean from the target, and perform binary search on the lower half of the array. This finds the exact matching pair in O(log n) additional time.",0.08,Incorrect method; averaging and binary-searching a sorted array does not solve Two Sum as stated.
BM-006,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,Hash map array indices complement lookup dictionary key value O(N) linear time insertion collision resolution target difference.,0.34,"Relevant keywords are present, but the response lacks coherent procedural explanation; subject to the jargon cap."
BM-007,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,We can find the two sum in O(1) time without extra memory by simply calculating target modulo 2 and indexing directly into the array.,0.03,Incorrect claim of O(1) time and no-memory direct indexing.
BM-008,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash map to store visited numbers for O(1) lookups, but hash maps do not allow lookups and you have to search the entire array linearly every single time.",0.16,Contradicts the correct hash-map idea by incorrectly claiming hash maps require linear search.
BM-009,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Initialize prev to NULL and curr to head. Loop while curr is not NULL: cache curr->next in next_temp, redirect curr->next to prev, move prev to curr, and advance curr to next_temp. Return prev as the new head.",0.98,Correct in-place pointer reversal with the necessary temporary next pointer and head update.
BM-010,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Reversing a singly linked list in-place requires redirecting every node's next pointer toward its predecessor without allocating auxiliary heap memory. We initialize three pointer variables: prev initialized to NULL, curr initialized to the list head, and a temporary pointer next_node. In a while loop that executes as long as curr is not NULL, we first preserve the remainder of the list by assigning next_node = curr->next. We then redirect curr->next to prev, effectively reversing the link. Next, we advance prev to curr, and curr to next_node. Upon loop termination, curr is NULL and prev points to the original tail, which is now the new head of the reversed list. Space complexity is O(1) and time complexity is O(N).",1.00,Complete and accurate pointer-by-pointer reversal with O(N) time and O(1) space.
