run_id,item_id,condition_id,score,grounding_ratio,gap_coverage,actionability_count
EXP3_gen_pilot_1_qid1,pilot_1_qid1,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_1_qid1,pilot_1_qid1,structured_evaluator_recovery,0.0,0.0,1.0,3
EXP3_gen_pilot_2_qid1,pilot_2_qid1,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_2_qid1,pilot_2_qid1,structured_evaluator_recovery,0.0,0.0556,1.0,5
EXP3_gen_pilot_3_qid1,pilot_3_qid1,generic_template,0.2986,0.0,0.0,1
EXP3_struct_pilot_3_qid1,pilot_3_qid1,structured_evaluator_recovery,0.2986,0.0625,1.0,5
EXP3_gen_pilot_4_qid1,pilot_4_qid1,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_4_qid1,pilot_4_qid1,structured_evaluator_recovery,0.0,0.0,1.0,5
EXP3_gen_pilot_5_qid1,pilot_5_qid1,generic_template,0.4435,0.0,0.0,1
EXP3_struct_pilot_5_qid1,pilot_5_qid1,structured_evaluator_recovery,0.4435,0.0,1.0,3
EXP3_gen_pilot_6_qid3,pilot_6_qid3,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_6_qid3,pilot_6_qid3,structured_evaluator_recovery,0.0,0.5,1.0,5
EXP3_gen_pilot_7_qid3,pilot_7_qid3,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_7_qid3,pilot_7_qid3,structured_evaluator_recovery,0.0,0.0,1.0,5
EXP3_gen_pilot_8_qid3,pilot_8_qid3,generic_template,0.1596,0.0,0.0,1
EXP3_struct_pilot_8_qid3,pilot_8_qid3,structured_evaluator_recovery,0.1596,0.0,1.0,3
EXP3_gen_pilot_9_qid3,pilot_9_qid3,generic_template,0.0703,0.0,0.0,1
EXP3_struct_pilot_9_qid3,pilot_9_qid3,structured_evaluator_recovery,0.0703,0.0714,1.0,4
EXP3_gen_pilot_10_qid3,pilot_10_qid3,generic_template,0.2689,0.0,0.0,1
EXP3_struct_pilot_10_qid3,pilot_10_qid3,structured_evaluator_recovery,0.2689,0.0,1.0,2
EXP3_gen_pilot_11_qid10,pilot_11_qid10,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_11_qid10,pilot_11_qid10,structured_evaluator_recovery,0.0,0.0,1.0,3
EXP3_gen_pilot_12_qid10,pilot_12_qid10,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_12_qid10,pilot_12_qid10,structured_evaluator_recovery,0.0,0.0769,1.0,5
EXP3_gen_pilot_13_qid10,pilot_13_qid10,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_13_qid10,pilot_13_qid10,structured_evaluator_recovery,0.0,0.0,1.0,5
EXP3_gen_pilot_14_qid10,pilot_14_qid10,generic_template,0.1744,0.0,0.0,1
EXP3_struct_pilot_14_qid10,pilot_14_qid10,structured_evaluator_recovery,0.1744,0.0,1.0,4
EXP3_gen_pilot_15_qid10,pilot_15_qid10,generic_template,0.2762,0.0,0.0,1
EXP3_struct_pilot_15_qid10,pilot_15_qid10,structured_evaluator_recovery,0.2762,0.0,1.0,2
EXP3_gen_pilot_16_qid41,pilot_16_qid41,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_16_qid41,pilot_16_qid41,structured_evaluator_recovery,0.0,0.0,1.0,5
EXP3_gen_pilot_17_qid41,pilot_17_qid41,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_17_qid41,pilot_17_qid41,structured_evaluator_recovery,0.0,0.0,1.0,3
EXP3_gen_pilot_18_qid41,pilot_18_qid41,generic_template,0.0,0.0,0.0,1
EXP3_struct_pilot_18_qid41,pilot_18_qid41,structured_evaluator_recovery,0.0,0.0,1.0,5
EXP3_gen_pilot_19_qid41,pilot_19_qid41,generic_template,0.8103,0.0,0.0,1
EXP3_struct_pilot_19_qid41,pilot_19_qid41,structured_evaluator_recovery,0.8103,0.0,1.0,3
EXP3_gen_pilot_20_qid41,pilot_20_qid41,generic_template,0.7998,0.0,0.0,1
EXP3_struct_pilot_20_qid41,pilot_20_qid41,structured_evaluator_recovery,0.7998,0.0,1.0,3
