paper,claim,evidence_artifact,metric/result,scope,limitation,status
Paper 1,Docker sandbox contains malicious C code execution,research/results/paper1/paper1_security_results.csv,9/9 (100%) attack vectors contained (SEC-01 to SEC-09),Negative security test suite against pre-flight filters and Docker cgroups,Shares host Linux kernel; microVMs provide stronger hypervisor isolation,SUPPORTED_WITH_LIMITATION
Paper 1,Subsystem failure recovery without session corruption,research/results/paper1/paper1_fault_injection_results.csv,10/10 (100%) fault scenarios recovered (FLT-01 to FLT-10),Predefined fault scenarios spanning LLM/evaluator/storage/network,Empirical coverage of tested faults; not universal mathematical fault tolerance,SUPPORTED_WITH_LIMITATION
Paper 1,Concurrent session isolation and zero lock errors,research/results/paper1/paper1_concurrency_results.csv,0 lock errors and 0 isolation violations across 1/5/10/25 sessions,SQLite 3 in WAL mode with threading.Lock on single host,Tested concurrency under workload; scaling past ~150-200 ops/s requires PostgreSQL,SUPPORTED_WITH_LIMITATION
Paper 1,Subsystem latency within interactive interview SLA,research/results/paper1/paper1_latency_results.csv,Warm evaluator 1960.8ms mean (P95 2098.6ms); DB write 17.2ms; ScoreValidator 0.004ms,Benchmark across 20-100 timed invocations,Evaluator requires warm model cache; container cold-start adds ~1.2-1.5s,SUPPORTED_WITH_LIMITATION
Paper 1,Qwen LLM strictly isolated from scoring and difficulty decisions,research/results/paper1/paper1_qwen_isolation_results.csv,5/5 boundary tests passed (QWN-01 to QWN-05),Deterministic gating in orchestrator and score validator,Qwen text quality relies on heuristic schema and regex validation,SUPPORTED
Paper 1,Acoustic prosody insulated from technical scoring pipeline,research/results/paper1/PAPER1_FINAL_REPORT.md,100% insulated; zero audio parameters passed to evaluator,Architectural interface contract (text-only evaluation API),No claims of demographic accent equity or bias mitigation,SUPPORTED_WITH_LIMITATION
Paper 1,Universal fault tolerance across all possible failure modes,None,N/A,All conceivable hardware and distributed network partitions,Refuted by scientific boundaries; only 10 tested faults verified,NOT_SUPPORTED
Paper 1,Inviolable security boundary preventing host kernel compromise,None,N/A,Full host kernel security under unpatched vulnerabilities,Refuted; Docker containerization is defense-in-depth,NOT_SUPPORTED
Paper 2,Evaluator correlates with multi-educator human consensus,research/results/paper2/paper2_summary_results.csv,Spearman rho = 0.3812 (p=0.00189; 95% CI [0.1575 0.5774]); Pearson r = 0.4042,N=64 authentic technical explanations across 10 DSA/systems categories,Evaluated on DSA algorithmic explanations; not general conversational speech,SUPPORTED_WITH_LIMITATION
Paper 2,Educator committee exhibits high inter-rater reliability,research/data/evaluator_benchmark/final_human_gold.csv,ICC(2 1)=0.9528; ICC(2 k)=0.9838; Krippendorff alpha=0.9523,3 independent blind human CS educators on 64 items (10 expert-adjudicated),Applies strictly to human-human agreement; not model agreement,SUPPORTED
